Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C2",CP_EIA-7343-15_Kemet-W,2,P10uF,
"C10, C9",CP_EIA-3528-21_Kemet-B,2,P47uF,
"C11, C3, C4, C7, C8",0805,5,100nF,
"C5, C6",CP_EIA-3216-10_Kemet-I,2,P100nF,
"D2, D3",Nexperia_CFP3_SOD-123W,2,MBR2H200SFT3G,
"F1, F2",0603,2,SF-0603SP300R-2,
IC1,SOIC127P600X175-14N,1,SN7417DR,
"J1, J5",1862149,2,1862149,
"J10, J7, J8, J9",1862071,4,1862071,
"J11, J6",1862055,2,1862055,
"J12, J13",HDRV3W64P0X254_1X3_760X250X580P,2,XJ8B-0311,
"J2, J3, J4",1862107,3,1862107,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED5, LED6, LED7, LED8, LED9",LEDC2012X90N,39,HSMC-C170-T0000,
"R0, R45, R46, R47, R50, R51, R52, R53, R54",0805,9,0,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R4, R5, R6, R7, R8, R9",0805,36,1K,
R26,0805,1,2.7K,
R27,0805,1,470,
"R39, R40, R41",0805,3,1K2,
"R43, R44, R48, R49",0805,4,100,
RV1,1206,1,B72520E0140K062,
S1,D6C10F1LFS,1,D6R90F1LFS,
"TP1, TP2, TP3, TP34, TP35, TP36, TP4, TP5, TP6, TP7, TP8",5006,11,5005,
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP53, TP9",5006,42,5006,
U1,TO-263-2,1,MIC29300-5.0WU,
U2,TO-263-2,1,MIC29300-3.3WU,
"VR1, VR13, VR14, VR15, VR16, VR2, VR3, VR4, VR5, VR6, VR7, VR8",PTV09A4020FB103,12,PTV09A-4020U-B103,
Z1,D_SOD-323_HandSoldering,1,BZT52C5V6S-7-F,
Z2,D_SOD-323_HandSoldering,1,BZT52C3V6S-7-F,
