Designator,Mid X,Mid Y,Rotation,Layer
A1,215.24,-96.22,90.0,top
C1,75.4,-93.0875,270.0,top
C10,92.4,-99.5875,180.0,top
C11,240.9,-90.4,270.0,top
C2,97.9,-93.0875,270.0,top
C3,96.95,-99.0875,180.0,top
C4,74.45,-99.0875,180.0,top
C5,63.9,-99.0875,0.0,top
C6,86.4,-99.0875,0.0,top
C7,69.9,-102.5875,0.0,top
C8,92.4,-102.5875,0.0,top
C9,69.9,-99.5875,180.0,top
D2,59.9,-97.9875,270.0,top
D3,82.4,-97.5875,270.0,top
F1,166.8,-90.625,270.0,top
F2,145.2,-90.625,270.0,top
IC1,246.39,-96.212,90.0,top
J1,174.75,-26.0,0.0,top
J10,114.25,-99.0,0.0,top
J11,265.4,-26.0,180.0,top
J12,61.4,-58.3,180.0,top
J13,253.9,-85.1,90.0,top
J2,135.75,-26.0,0.0,top
J3,103.75,-26.0,0.0,top
J4,71.75,-26.0,0.0,top
J5,220.75,-26.0,0.0,top
J6,251.0,-26.0,180.0,top
J7,135.75,-99.0,0.0,top
J8,157.25,-99.0,0.0,top
J9,178.75,-99.0,0.0,top
LED1,84.1,-45.95,270.0,top
LED10,112.5,-45.95,270.0,top
LED11,109.0,-45.95,270.0,top
LED12,105.5,-45.95,270.0,top
LED13,102.0,-45.95,270.0,top
LED14,98.5,-45.95,270.0,top
LED15,95.0,-45.9,270.0,top
LED16,91.5,-45.95,270.0,top
LED17,148.0,-45.95,90.0,top
LED18,144.5,-45.95,90.0,top
LED19,141.0,-45.95,90.0,top
LED2,80.75,-45.95,270.0,top
LED20,137.5,-45.95,90.0,top
LED21,134.0,-45.95,90.0,top
LED22,130.5,-45.9,90.0,top
LED23,127.0,-45.9,90.0,top
LED24,123.5,-45.95,90.0,top
LED25,176.6,-46.0,270.0,top
LED26,183.6,-46.0,270.0,top
LED27,180.2,-46.0,270.0,top
LED28,173.0,-46.0,270.0,top
LED29,169.6,-46.0,270.0,top
LED3,77.0,-46.0,270.0,top
LED30,166.0,-46.0,270.0,top
LED31,162.35,-46.0,270.0,top
LED32,159.0,-46.0,270.0,top
LED33,155.4,-46.0,270.0,top
LED34,194.0,-46.0,90.0,top
LED35,147.2,-90.6,90.0,top
LED36,170.8,-90.4,90.0,top
LED37,187.0,-46.0,90.0,top
LED38,190.5,-46.0,90.0,top
LED39,188.4,-90.4,90.0,top
LED4,73.5,-46.0,270.0,top
LED5,70.0,-45.95,270.0,top
LED6,66.5,-45.95,270.0,top
LED7,63.0,-45.95,270.0,top
LED8,59.5,-45.9,270.0,top
LED9,116.0,-45.95,270.0,top
R0,144.5,-81.0,90.0,top
R1,84.0,-41.45,270.0,top
R10,112.5,-41.45,270.0,top
R11,109.0,-41.45,270.0,top
R12,105.5,-41.45,270.0,top
R13,102.0,-41.45,270.0,top
R14,98.5,-41.45,270.0,top
R15,95.0,-41.3625,270.0,top
R16,91.5,-41.45,270.0,top
R17,148.0,-41.45,90.0,top
R18,144.5,-41.45,90.0,top
R19,141.0,-41.45,90.0,top
R2,80.5,-41.45,270.0,top
R20,137.5,-41.45,90.0,top
R21,134.0,-41.45,90.0,top
R22,130.5,-41.45,90.0,top
R23,127.0,-41.45,90.0,top
R24,123.5,-41.45,90.0,top
R25,194.0,-41.5,90.0,top
R26,186.3,-90.4,90.0,top
R27,168.6,-90.4,90.0,top
R28,183.5,-41.5,270.0,top
R29,180.0,-41.5,270.0,top
R3,77.0,-41.45,270.0,top
R30,176.5,-41.5,270.0,top
R31,173.0,-41.5,270.0,top
R32,169.5,-41.5,270.0,top
R33,166.0,-41.5,270.0,top
R34,162.5,-41.5,270.0,top
R35,159.0,-41.5,270.0,top
R36,155.5,-41.5,270.0,top
R37,187.0,-41.5,90.0,top
R38,190.5,-41.5,90.0,top
R39,268.7,-99.7,180.0,top
R4,73.5,-41.45,270.0,top
R40,268.7,-101.7,180.0,top
R41,268.7,-103.7,180.0,top
R43,133.5,-86.5,270.0,top
R44,135.5,-86.5,270.0,top
R45,142.5,-81.0,90.0,top
R46,139.5,-86.5,90.0,top
R47,137.5,-86.5,90.0,top
R48,146.5,-81.0,90.0,top
R49,148.5,-81.0,90.0,top
R5,70.0,-41.45,270.0,top
R50,141.5,-86.5,270.0,top
R51,150.5,-81.0,90.0,top
R52,145.5,-86.5,270.0,top
R53,152.5,-81.0,90.0,top
R54,143.5,-86.5,90.0,top
R6,66.5739,-41.4226,270.0,top
R7,63.0,-41.45,270.0,top
R8,59.5437,-41.4677,270.0,top
R9,116.0,-41.45,270.0,top
RV1,79.4,-95.0875,270.0,top
S1,254.9,-68.7,180.0,top
TP1,123.5,-35.5,90.0,top
TP10,95.0,-35.5,90.0,top
TP11,98.5,-35.5,90.0,top
TP12,102.0,-35.5,90.0,top
TP13,105.5,-35.5,90.0,top
TP14,109.0,-35.5,90.0,top
TP15,112.5,-35.5,90.0,top
TP16,116.0,-35.5,90.0,top
TP17,84.0,-35.5,90.0,top
TP18,80.5,-35.5,90.0,top
TP19,77.0,-35.5,90.0,top
TP2,127.0,-35.5,90.0,top
TP20,73.5,-35.5,90.0,top
TP21,70.0,-35.5,90.0,top
TP22,66.5,-35.5,90.0,top
TP23,63.0,-35.5,90.0,top
TP24,59.5,-35.5,90.0,top
TP25,183.5,-35.5,90.0,top
TP26,180.0,-35.5,90.0,top
TP27,176.5,-35.5,90.0,top
TP28,173.0,-35.5,90.0,top
TP29,169.5,-35.5,90.0,top
TP3,130.5,-35.5,90.0,top
TP30,162.5,-35.5,90.0,top
TP31,166.0,-35.5,90.0,top
TP32,159.0,-35.5,90.0,top
TP33,155.5,-35.5,90.0,top
TP34,194.0,-35.5,90.0,top
TP35,187.0,-35.5,90.0,top
TP36,190.5,-35.5,90.0,top
TP37,240.0,-35.4,90.0,top
TP38,236.5086,-35.4,90.0,top
TP39,233.0,-35.4,90.0,top
TP4,134.0,-35.5,90.0,top
TP40,229.4876,-35.4377,90.0,top
TP41,226.0,-35.4,90.0,top
TP42,222.5044,-35.4189,90.0,top
TP43,219.0,-35.4,90.0,top
TP44,215.5211,-35.4189,90.0,top
TP45,212.0,-35.4,90.0,top
TP46,208.5001,-35.3623,90.0,top
TP47,205.0,-35.4,90.0,top
TP48,201.4791,-35.4,90.0,top
TP49,247.4,-35.4,90.0,top
TP5,137.5,-35.5,90.0,top
TP50,251.0,-35.4,90.0,top
TP51,254.5132,-35.4113,90.0,top
TP52,268.8993,-35.4,90.0,top
TP53,261.8318,-35.4,90.0,top
TP6,141.0,-35.5,90.0,top
TP7,144.5,-35.5,90.0,top
TP8,148.0,-35.5,90.0,top
TP9,91.5,-35.5,90.0,top
U1,66.9,-87.4375,90.0,top
U2,89.36,-87.4375,90.0,top
VR1,237.6,-70.835,0.0,top
VR13,97.4,-70.835,0.0,top
VR14,159.6,-70.835,0.0,top
VR15,206.4,-70.835,0.0,top
VR16,190.8,-70.835,0.0,top
VR2,128.4,-70.835,0.0,top
VR3,222.0,-70.835,0.0,top
VR4,144.0,-70.835,0.0,top
VR5,66.2,-70.835,0.0,top
VR6,81.8,-70.835,0.0,top
VR7,112.9,-70.835,0.0,top
VR8,175.2,-70.835,0.0,top
Z1,65.65,-102.5875,180.0,top
Z2,88.15,-102.5875,180.0,top
